"root","course","file","status"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\bottom-up-parsing-lr.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\calling-conventions.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\cfg-transformations.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\code-generation.md","MISSING_SECTION"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\code-optimization.md","MISSING_SECTION"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\compiler-overview-phases.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\compiler-tools-flex-bison.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\context-free-grammars.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\control-flow-analysis.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\data-flow-analysis.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\dfa-minimization.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\error-recovery-parsing.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\first-follow-sets.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\formal-languages.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\garbage-collection.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\index.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\instruction-scheduling.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\instruction-selection.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\intermediate-code.md","MISSING_SECTION"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\interprocedural-analysis.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\jit-compilation.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\language-implementation-patterns.md","CAPTION_ONLY"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\lexical-analysis.md","MISSING_SECTION"
"archived-courses","compiler-design","D:\app2\app\archived-courses\compiler-design\wiki\linking-loading.md","CAPTION_ONLY"
